id;maternal;simulation
AV250;graz;clip
AV253_2;graz;clip
AV253;graz;clip
AV252;graz;clip
AV243_2;graz;clip
AV243;graz;clip
AV246;graz;clip
AV265;graz;unclip
AV263B;graz;unclip
AV259;graz;unclip
AV256;graz;unclip
AV264B;graz;unclip
AV244;graz;clip
AV260;graz;unclip
AV251;graz;clip
AV266;graz;unclip
AV261;graz;unclip
AV254;graz;clip
AV241;graz;clip
AV263A;graz;unclip
AV249;graz;clip
AV262;graz;unclip
AV276;ungraz;clip
AV281;ungraz;clip
AV284;ungraz;clip
AV282_2;ungraz;clip
AV282;ungraz;clip
AV292;ungraz;unclip
AV280_2;ungraz;clip
AV280;ungraz;clip
AV290;ungraz;unclip
AV299;ungraz;unclip
AV291;ungraz;unclip
AV272;ungraz;clip
AV279;ungraz;clip
AV278;ungraz;clip
AV297_2;ungraz;unclip
AV297;ungraz;unclip
AV275;ungraz;clip
AV296_2;ungraz;unclip
AV296;ungraz;unclip
AV283;ungraz;clip
AV289;ungraz;unclip
AV273;ungraz;clip
AV288;ungraz;unclip
AV286;ungraz;unclip
AV287;ungraz;unclip
AV293;ungraz;unclip
AV298;ungraz;unclip
